ADM202;COMUNICAÇÃO                                                 ;68
ADMF52;HABILIDADES  E COMPETÊNCIAS DO ADMINISTRADOR                ;34
ADMF54;ESTUDOS ORGANIZACIONAIS I                                   ;68
ADMF56;INICIAÇÃO CIENTÍFICA                                        ;34
DIR159;INSTITUICAO DE DIREITO PUBLICO E PRIVADO                    ;68
FCH001;INTRODUÇÃO À FILOSOFIA                                      ;68
MAT013;MATEMATICA I                                                ;102
ADM170;ADMINISTRACAO CONTABIL I                                    ;68
ADM203;INFORMÁTICA APLICADA À ADMINISTRAÇÃO                        ;68
ADM218;ABORDAGEM SÓCIO POLÍTICA DAS ORGANIZAÇÕES                   ;51
DIR161;LEGISLACAO TRIBUTARIA                                       ;68
ECO155;INTRODUCAO AS TEORIAS ECONOMICAS                            ;102
MAT020;ESTATISTICA I A                                             ;68
ADM223;ESTUDOS ANTROPOLÓGICOS DAS ORGANIZAÇÕES                     ;51
ADM226;GESTAO DE CUSTOS I                                          ;68
ADMF53;SEMINÁRIOS  DE PRÁTICAS DE GESTÃO I                         ;34
ADMF59;SISTEMAS DE INFORMAÇÕES GERENCIAIS PARA TOMADA DE DECISÕES  ;85
DIR164;LEGISLACAO SOCIAL E DIREITO DO TRABALHO                     ;68
ECO142;ECONOMIA BRASILEIRA                                         ;51
MAT191;MATEMATICA FINANCEIRA                                       ;68
ADM150;ESTADO E SOCIEDADE                                          ;68
ADM172;ADMINISTRACAO FINANCEIRA I                                  ;68
ADM173;ADMINISTRACAO MERCADOLOGICA I                               ;68
ADMF55;ESTUDOS ORGANIZACIONAIS II                                  ;68
IPSA01;PSICOLOGIA I                                                ;68
MAT023;ESTATISTICA II A                                            ;68
ADM149;ESTRATEGIA ECONOMICA  DAS  EMPRESAS                         ;68
ADM174;ADMINISTRACAO DA PRODUCAO  I                                ;68
ADM177;ADMINISTRACAO FINANCEIRA II                                 ;68
ADM211;MÉTODOS QUANTITATIVOS APLICADOS À ADMINISTRAÇÃO             ;51
ADMB81;ÉTICA EMPRESARIAL RESPONSABILIDADE SOCIAL                   ;51
ADMF72;SEMINÁRIOS DE PRÁTICAS DE GESTÃO II                         ;34
ADM221;ESTÁGIO CURRICULAR                                          ;240
ADMF50;POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL                   ;68
ADMF58;PLANEJAMENTO E CONTROLE DE OPERAÇÕES                        ;68
ADM154;ELABORAÇÃO E ANÁLISE DE PROGRAMAS E PROJETOS                ;68
ADM179;ADMINISTRACAO MERCADOLOGICA  II                             ;68
ADM204;PESQUISA APLICADA À ADMINISTRAÇÃO                           ;68
ADM222;GESTAO DE PESSOAS                                           ;68
ADM227;ORCAMENTO E FINANCAS PUBLICAS                               ;68
ADMB80;ADMINISTRAÇÃO POLÍTICA                                      ;51
ADMF73;SEMINÁRIOS DE PRÁTICAS DE GESTÃO III                        ;34
ADM175;ADMINISTRAÇÃO ESTRATÉGICA                                   ;68
ADM181;ADMINISTRACAO DA PRODUCAO  II                               ;68
ADMF60;GESTÃO DE PESSOAS II                                        ;68
ADM224;TCC - TRABALHO DE CONCLUSÃO DE CURSO                        ;102
DIRB65;ACCS: EMPREENDEDORISMO SOCIAL                               ;68
ADM176;ADMINISTRACAO CONTABIL II                                   ;68
FCC009;AUDITORIA I                                                 ;68
ADM180;COMERCIO EXTERIOR                                           ;51
FCC050;CONTABILIDADE GOVERNAMENTAL                                 ;68
