ADM001;INTRODUCAO A  ADMINISTRACAO                                 ;68
ADM007;COMUNICACAO I                                               ;68
ADM011;PESQUISA  OPERACIONAL                                       ;68
ADM012;ADMINISTRACAO                                               ;68
ADM143;CHEFIA E LIDERANCA I-A                                      ;68
ADM145;INTRODUCAO AS RELACOES PUBLICAS                             ;51
ADM149;ESTRATEGIA ECONOMICA  DAS  EMPRESAS                         ;68
ADM150;ESTADO E SOCIEDADE                                          ;68
ADM154;ELABORACAO E ANALISE DE PROGRAMAS E PROJETOS                ;68
ADM158;SEMINARIO SOBRE TEMAS ESPECTFICOS EM PLANEJAMENTO           ;34
ADM170;ADMINISTRACAO CONTABIL I                                    ;68
ADM171;ELEMENTOS E ANALISES DE CUSTOS                              ;68
ADM172;ADMINISTRACAO FINANCEIRA I                                  ;68
ADM173;ADMINISTRACAO MERCADOLOGICA I                               ;68
ADM174;ADMINISTRACAO DA PRODUCAO  I                                ;68
ADM175;ADMINISTRACAO ESTRATEGICA                                   ;68
ADM176;ADMINISTRACAO CONTABIL II                                   ;68
ADM177;ADMINISTRACAO FINANCEIRA II                                 ;68
ADM178;INSTRUMENTOS DE MARKETING                                   ;68
ADM179;ADMINISTRACAO MERCADOLOGICA  II                             ;68
ADM180;COMERCIO EXTERIOR                                           ;51
ADM181;ADMINISTRACAO DA PRODUCAO  II                               ;68
ADM182;GERENCIA DE OPERACOES INDUSTRIAIS                           ;51
ADM184;SEMINARIOS SOBRE TEMAS DE ADMINISTRACAO EM FINANCAS         ;34
ADM186;SEMINARIOS SOBRE TEMAS ESPECIFICOS EM PRODUCAO E/OU MARKET  ;34
ADM188;REDACAO EMPRESARIAL                                         ;68
ADM200;INTRODUCAO A  ADMINISTRACAO                                 ;68
ADM202;COMUNICACAO                                                 ;68
ADM203;INFORMATICA APLICADA A ADMINISTRACAO                        ;68
ADM204;PESQUISA APLICADA A ADMINISTRACAO                           ;68
ADM205;ADMINISTRACAO DE MATERIAL                                   ;68
ADM207;GESTAO DE ORGANIZACOES                                      ;68
ADM211;METODOS QUANTITATIVOS APLICADOS A ADMINISTRACAO             ;51
ADM213;NEGOCIACAO                                                  ;68
ADM214;ORGANIZACAO E  RELACOES DO TRABALHO                         ;68
ADM215;DESENVOLVIMENTO  DOS RECURSOS HUMANOS                       ;68
ADM216;SEMINARIO SOBRE TEMAS ESPECIFICOS EM ORGANIZACAO            ;34
ADM218;ABORDAGEM SOCIO POLITICA DAS ORGANIZACOES                   ;51
ADM221;ESTAGIO CURRICULAR                                          ;240
ADM222;GESTAO DE PESSOAS                                           ;68
ADM223;ESTUDOS ANTROPOLOGICOS DAS ORGANIZACOES                     ;51
ADM224;TCC - TRABALHO DE CONCLUSAO DE CURSO                        ;102
ADM226;GESTAO DE CUSTOS I                                          ;68
ADM227;ORCAMENTO E FINANCAS PUBLICAS                               ;68
ADM228;TECNICAS SECRETARIAIS I                                     ;51
ADM229;TECNICAS SECRETARIAIS II                                    ;68
ADM235;PANORAMA SOCIO - POLITICO NO BRASIL E NO MUNDO              ;51
ADM240;GESTAO CONTABIL PARA SECRETARIOS                            ;51
ADM241;INTRODUCAO AO MARKETING                                     ;51
ADM243;GERENCIA CONTEMPORANEA                                      ;68
ADM244;GESTAO SECRETARIAL I                                        ;51
ADM245;GESTAO SECRETARIAL II                                       ;51
ADM248;SEMINARIOS TEMAS ESPECIFICOS DE PRODUCAO E/OU MARKETING     ;34
ADM251;GESTAO DE CUSTOS II                                         ;68
ADM252;ORCAMENTO PUBLICO E EMPRESARIAL                             ;51
ADM253;GESTAO PUBLICA E GOVERNO LOCAL                              ;51
ADM254;GESTAO CULTURAL                                             ;68
ADM454;ACC: GESTAO EM ECONOMIA SOLIDARIA                           ;68
ADM574;ECONOMIA DA TECNOLOGIA                                      ;34
ADM575;ESTRATEGIA COMPETITIVA                                      ;34
ADMA95;RELACOES INTERNACIONAIS                                     ;68
ADMB80;ADMINISTRACAO POLITICA                                      ;51
ADMB81;ETICA EMPRESARIAL RESPONSABILIDADE SOCIAL                   ;51
ADMB82;GESTAO DE SEGURANCA PUBLICA                                 ;68
ADMC99;INFORMATICA  I                                              ;68
ADMD01;GESTAO ECONOMICA                                            ;51
ADMD02;PLANEJAMENTO EMPRESARIAL                                    ;51
ADMD03;INFORMATICA  II                                             ;68
ADMD04;METODOLOGIA DA PESQUISA                                     ;102
ADMD05;INFORMATICA  III - AUTOMACAO DE ESCRITORIOS                 ;34
ADMD06;TRABALHO DE CONCLUSAO DE CURSO                              ;34
ADMD07;EMPREENDEDORISMO                                            ;34
ADMD08;SISTEMAS DE INFORMACOES GERENCIAIS  I                       ;68
ADMD09;ESTAGIO CURRICULAR SUPERVISIONADO                           ;102
ADMD97;INDIVIDUO E ESPACO PUBLICO                                  ;68
ADMD98;SISTEMAS,MODELOS E MAPAS COGNITIVOS                         ;68
ADMD99;COMUNICACAO E EXPRESSAO                                     ;68
ADME01;OFICINA1:EXPLORACAO DA REALIDADE SOCIAL                     ;51
ADME99;ECONOMIA DA INOVACAO                                        ;68
ADMF01;SISTEMAS DE APOIO A DECISAO                                 ;85
ADMF50;POLITICAS PUBLICAS E GESTAO GOVERNAMENTAL                   ;68
ADMF51;GESTAO AMBIENTAL E CONSUMO CONSCIENTE NAS ORGANIZACOES      ;51
ADMF52;HABILIDADES  E COMPETENCIAS DO ADMINISTRADOR                ;34
ADMF53;SEMINARIOS  DE PRATICAS DE GESTAO I                         ;34
ADMF54;ESTUDOS ORGANIZACIONAIS I                                   ;68
ADMF55;ESTUDOS ORGANIZACIONAIS II                                  ;68
ADMF56;INICIACAO CIENTIFICA                                        ;34
ADMF58;PLANEJAMENTO E CONTROLE DE OPERACOES                        ;68
ADMF59;SISTEMAS DE INFORMACOES GERENCIAIS PARA TOMADA DE DECISOES  ;85
ADMF60;GESTAO DE PESSOAS II                                        ;68
ADMF65;INDUSTRIAS CRIATIVAS                                        ;51
ADMF72;SEMINARIOS DE PRATICAS DE GESTAO II                         ;34
ADMF73;SEMINARIOS DE PRATICAS DE GESTAO III                        ;34
ADMG11;GESTAO DE PROJETOS E DESENVOLVIMENTO TERRITORIAL            ;51
ADMG12;GESTAO DE RISCOS E CATASTROFE                               ;51
ADMG13;Empreendedorismo Social                                     ;51
ADMH24;ESTADO E SOCIEDADE AVA                                      ;68
ADMH56;GESTAO DE PESSOAS - AVA                                     ;68
ADMH57;GESTAO DE SEGURANCA PUBLICA - AVA                           ;68
ADMH58;POLITICAS PUBLICAS E GESTAO GOVERNAMENTAL - AVA             ;68
ADMH59;SISTEMAS DE INFORMACOES GER PARA TOMADA DE DECISOES - AVA   ;85
ADMH60;GESTAO DE RISCOS E CATASTROFE - AVA                         ;51
ADMH61;TCC - TRABALHO DE CONCLUSAO DE CURSO - AVA                  ;102
ADMH62;ETICA NAS ORGANIZACOES - AVA                                ;51
ARQ003;DESCRITIVA I                                                ;102
ARQ004;DESCRITIVA II                                               ;102
ARQ005;DESENHO GEOMETRICO I                                        ;68
ARQ006;DESENHO GEOMETRICO II                                       ;68
ARQ009;INTRODUCAO A ARQUITETURA                                    ;68
